MonthlyCharges,Contract
18.85,Month-to-month
18.95,Month-to-month
19,Month-to-month
19.1,Month-to-month
19.25,Month-to-month
19.3,Month-to-month
19.3,One year
19.35,Month-to-month
19.35,Two year
19.4,Month-to-month
19.45,Month-to-month
19.5,Month-to-month
19.55,Month-to-month
19.6,Month-to-month
19.65,Month-to-month
19.7,Month-to-month
19.75,Month-to-month
19.75,One year
19.75,Two year
19.8,Month-to-month
19.8,One year
19.85,Month-to-month
19.85,One year
19.9,Month-to-month
19.95,Month-to-month
20,Month-to-month
20.05,Month-to-month
20.1,Month-to-month
20.15,Month-to-month
20.15,One year
20.2,Month-to-month
20.25,Month-to-month
20.3,Month-to-month
20.35,Month-to-month
20.4,Month-to-month
20.4,One year
20.5,Month-to-month
20.55,Month-to-month
20.6,Month-to-month
20.65,Month-to-month
20.8,One year
20.85,Month-to-month
20.9,Month-to-month
20.95,Month-to-month
21,Month-to-month
21.05,Month-to-month
23.15,Month-to-month
23.45,Month-to-month
23.9,Month-to-month
24.05,Month-to-month
24.1,Month-to-month
24.1,One year
24.25,Month-to-month
24.35,Month-to-month
24.4,Month-to-month
24.45,Month-to-month
24.5,Two year
24.6,Month-to-month
24.75,Month-to-month
24.75,Two year
24.8,Month-to-month
24.9,One year
24.95,Month-to-month
25.05,Month-to-month
25.1,Month-to-month
25.15,Month-to-month
25.15,Two year
25.2,Month-to-month
25.25,Month-to-month
25.3,Month-to-month
25.3,One year
25.4,Month-to-month
25.5,Month-to-month
25.7,Month-to-month
25.8,Month-to-month
25.9,Month-to-month
28.45,Month-to-month
28.6,Month-to-month
29.2,Month-to-month
29.4,Month-to-month
29.5,Month-to-month
29.6,Month-to-month
29.65,Month-to-month
29.7,Month-to-month
29.85,Month-to-month
29.95,Month-to-month
30.1,Month-to-month
30.2,Month-to-month
30.3,Month-to-month
30.35,Month-to-month
30.4,Month-to-month
30.45,Month-to-month
30.5,Month-to-month
30.6,Month-to-month
30.75,Month-to-month
30.9,Month-to-month
31,Month-to-month
31.05,Month-to-month
31.35,Month-to-month
33.5,Month-to-month
33.55,One year
33.65,Month-to-month
33.9,Month-to-month
34,Month-to-month
34.25,Month-to-month
34.5,Month-to-month
34.7,Month-to-month
34.7,One year
35,Month-to-month
35.05,Month-to-month
35.1,Month-to-month
35.15,Month-to-month
35.2,Month-to-month
35.25,Month-to-month
35.4,Month-to-month
35.45,Month-to-month
35.55,Month-to-month
35.75,Month-to-month
35.9,Month-to-month
36.45,Month-to-month
36.5,Month-to-month
36.85,Month-to-month
39,Month-to-month
39.05,Month-to-month
39.1,Month-to-month
39.3,Month-to-month
39.5,Month-to-month
39.65,Month-to-month
40,Month-to-month
40.05,Month-to-month
40.1,Month-to-month
40.15,Month-to-month
40.2,Month-to-month
40.3,Month-to-month
40.4,Month-to-month
40.65,Month-to-month
41.05,Month-to-month
41.15,Month-to-month
41.6,One year
41.9,Month-to-month
42.35,One year
42.6,Month-to-month
42.9,Month-to-month
43.25,Month-to-month
43.3,Month-to-month
43.65,Month-to-month
43.75,One year
43.95,Month-to-month
44.05,Month-to-month
44.1,Month-to-month
44.15,Month-to-month
44.2,Month-to-month
44.3,Month-to-month
44.35,Month-to-month
44.4,Month-to-month
44.45,Month-to-month
44.55,Month-to-month
44.6,Month-to-month
44.65,Month-to-month
44.7,Month-to-month
44.75,Month-to-month
44.85,Month-to-month
44.85,One year
44.9,Month-to-month
44.95,Month-to-month
45,Month-to-month
45.05,Month-to-month
45.1,Month-to-month
45.15,Month-to-month
45.25,Month-to-month
45.25,One year
45.3,Month-to-month
45.35,Month-to-month
45.4,Month-to-month
45.55,Month-to-month
45.6,Month-to-month
45.65,Month-to-month
45.7,Month-to-month
45.75,Month-to-month
45.8,Month-to-month
45.85,Month-to-month
45.95,Month-to-month
46,Month-to-month
46.05,Month-to-month
46.2,Month-to-month
46.3,Month-to-month
46.35,Month-to-month
47.15,Month-to-month
47.8,Month-to-month
47.85,Two year
47.95,Month-to-month
48.35,Month-to-month
48.35,One year
48.55,Month-to-month
48.6,Month-to-month
48.7,Month-to-month
48.75,Month-to-month
48.8,Month-to-month
48.95,Month-to-month
49.05,Month-to-month
49.1,Month-to-month
49.15,Month-to-month
49.2,Month-to-month
49.25,Month-to-month
49.35,Month-to-month
49.35,Two year
49.4,Month-to-month
49.55,Month-to-month
49.6,Month-to-month
49.65,Month-to-month
49.75,One year
49.85,Month-to-month
49.9,Month-to-month
49.95,Month-to-month
50.05,Month-to-month
50.1,Month-to-month
50.15,Month-to-month
50.25,Month-to-month
50.35,Month-to-month
50.4,Month-to-month
50.45,Month-to-month
50.5,Month-to-month
50.55,Month-to-month
50.6,Month-to-month
50.65,Month-to-month
50.7,Month-to-month
50.75,Month-to-month
50.8,Month-to-month
50.85,Month-to-month
50.9,Month-to-month
51,Month-to-month
51.05,Month-to-month
51.2,Month-to-month
51.25,Month-to-month
51.5,Month-to-month
51.55,Month-to-month
51.75,Month-to-month
51.8,One year
52.2,Month-to-month
53.4,Month-to-month
53.5,Month-to-month
53.55,Month-to-month
53.65,One year
53.75,Month-to-month
53.85,Month-to-month
53.9,Month-to-month
53.95,Month-to-month
53.95,One year
54.15,Month-to-month
54.15,One year
54.2,Month-to-month
54.2,Two year
54.3,Month-to-month
54.35,Month-to-month
54.35,Two year
54.4,Month-to-month
54.45,Month-to-month
54.55,Month-to-month
54.7,Month-to-month
54.75,Month-to-month
54.85,Month-to-month
54.9,Month-to-month
55,Month-to-month
55.05,Month-to-month
55.1,Month-to-month
55.15,Month-to-month
55.15,One year
55.2,Month-to-month
55.25,Month-to-month
55.3,Month-to-month
55.35,Month-to-month
55.4,Month-to-month
55.55,Month-to-month
55.65,Month-to-month
55.7,Month-to-month
55.8,Month-to-month
55.85,One year
55.9,Month-to-month
55.95,Month-to-month
55.95,One year
56.15,Month-to-month
56.25,Month-to-month
56.5,Month-to-month
56.65,Month-to-month
56.7,Month-to-month
57.15,Month-to-month
57.45,Month-to-month
57.55,Two year
58.5,Month-to-month
58.6,Month-to-month
59,Month-to-month
59.2,Month-to-month
59.3,One year
59.4,Month-to-month
59.45,Month-to-month
59.5,Month-to-month
59.75,Month-to-month
59.8,One year
59.85,Month-to-month
59.9,One year
60,Month-to-month
60.05,Month-to-month
60.05,One year
60.1,Month-to-month
60.15,Month-to-month
60.3,One year
60.35,One year
60.4,Month-to-month
60.45,One year
61.15,Month-to-month
61.45,Month-to-month
61.6,Month-to-month
61.65,Month-to-month
62.05,Month-to-month
62.3,One year
62.65,Month-to-month
62.7,One year
63.6,Month-to-month
64.4,One year
64.65,Month-to-month
64.7,Month-to-month
64.75,Month-to-month
65,Month-to-month
65.2,Month-to-month
65.25,Month-to-month
65.3,Two year
65.4,One year
65.45,Month-to-month
65.7,Month-to-month
66.25,Month-to-month
66.35,Month-to-month
66.4,Month-to-month
66.5,One year
67.5,One year
67.75,Month-to-month
67.95,Month-to-month
68.25,Month-to-month
68.5,Month-to-month
68.65,Month-to-month
68.85,Month-to-month
68.95,Month-to-month
69,Month-to-month
69.05,Month-to-month
69.1,Month-to-month
69.15,Month-to-month
69.2,Month-to-month
69.25,Month-to-month
69.35,Month-to-month
69.4,Month-to-month
69.5,Month-to-month
69.5,One year
69.55,Month-to-month
69.6,Month-to-month
69.65,Month-to-month
69.7,Month-to-month
69.75,Month-to-month
69.8,Month-to-month
69.85,Month-to-month
69.9,Month-to-month
69.95,Month-to-month
70,Month-to-month
70,One year
70.05,Month-to-month
70.1,Month-to-month
70.1,One year
70.15,Month-to-month
70.15,One year
70.2,Month-to-month
70.2,Two year
70.25,Month-to-month
70.3,Month-to-month
70.35,Month-to-month
70.4,Month-to-month
70.45,Month-to-month
70.45,One year
70.5,Month-to-month
70.55,Month-to-month
70.6,Month-to-month
70.65,Month-to-month
70.7,Month-to-month
70.75,Month-to-month
70.8,Month-to-month
70.85,Month-to-month
70.9,Month-to-month
70.95,Month-to-month
71,Month-to-month
71.05,Month-to-month
71.1,Month-to-month
71.15,Month-to-month
71.3,Month-to-month
71.35,Month-to-month
71.55,Month-to-month
71.65,Month-to-month
71.8,Month-to-month
72.15,Month-to-month
72.2,Month-to-month
72.25,Month-to-month
72.45,One year
72.65,Month-to-month
72.85,Month-to-month
72.9,Month-to-month
73,Month-to-month
73,One year
73.2,Month-to-month
73.25,Month-to-month
73.5,Month-to-month
73.55,Month-to-month
73.6,Month-to-month
73.65,Month-to-month
73.75,Month-to-month
73.85,Month-to-month
73.9,Month-to-month
73.9,One year
73.95,Month-to-month
74.05,Month-to-month
74.05,One year
74.1,Month-to-month
74.15,Month-to-month
74.2,Month-to-month
74.25,Month-to-month
74.3,Month-to-month
74.3,One year
74.35,Month-to-month
74.4,Month-to-month
74.45,Month-to-month
74.5,Month-to-month
74.55,Month-to-month
74.6,Month-to-month
74.65,Month-to-month
74.7,Month-to-month
74.75,Month-to-month
74.8,Month-to-month
74.8,Two year
74.85,Month-to-month
74.9,Month-to-month
74.95,Month-to-month
75,Month-to-month
75.05,Month-to-month
75.1,Month-to-month
75.15,Month-to-month
75.2,Month-to-month
75.25,Month-to-month
75.3,Month-to-month
75.3,One year
75.35,Month-to-month
75.4,Month-to-month
75.45,Month-to-month
75.5,Month-to-month
75.55,Month-to-month
75.6,Month-to-month
75.65,Month-to-month
75.7,Month-to-month
75.75,Month-to-month
75.8,Month-to-month
75.8,One year
75.85,Month-to-month
75.9,Month-to-month
76,Month-to-month
76.05,Month-to-month
76.1,Month-to-month
76.2,Month-to-month
76.25,Month-to-month
76.35,Month-to-month
76.4,Month-to-month
76.45,Month-to-month
76.5,Month-to-month
76.65,Month-to-month
76.95,Month-to-month
77,Month-to-month
77.15,Month-to-month
77.5,Month-to-month
77.5,One year
77.65,Month-to-month
77.75,Month-to-month
77.85,Month-to-month
77.95,Month-to-month
78.05,Month-to-month
78.1,Month-to-month
78.25,Month-to-month
78.3,Month-to-month
78.45,Month-to-month
78.5,Month-to-month
78.55,Month-to-month
78.6,One year
78.65,Month-to-month
78.75,Month-to-month
78.8,Month-to-month
78.85,Month-to-month
78.9,Month-to-month
78.95,Month-to-month
79,Month-to-month
79.05,Month-to-month
79.1,Month-to-month
79.15,Month-to-month
79.2,Month-to-month
79.25,Month-to-month
79.3,Month-to-month
79.35,Month-to-month
79.4,Month-to-month
79.4,Two year
79.45,Month-to-month
79.45,One year
79.5,Month-to-month
79.55,Month-to-month
79.6,Month-to-month
79.65,Month-to-month
79.7,Month-to-month
79.7,Two year
79.75,Month-to-month
79.8,Month-to-month
79.85,Month-to-month
79.9,Month-to-month
79.95,Month-to-month
80,Month-to-month
80,One year
80.05,Month-to-month
80.1,Month-to-month
80.15,Month-to-month
80.2,Month-to-month
80.25,Month-to-month
80.3,Month-to-month
80.3,One year
80.35,Month-to-month
80.4,Month-to-month
80.45,Month-to-month
80.45,Two year
80.5,Month-to-month
80.55,Month-to-month
80.55,Two year
80.6,Month-to-month
80.65,Month-to-month
80.7,Month-to-month
80.75,Month-to-month
80.8,Month-to-month
80.85,Month-to-month
80.95,Month-to-month
81,Month-to-month
81.05,Month-to-month
81.1,Month-to-month
81.15,Month-to-month
81.25,Month-to-month
81.3,Month-to-month
81.35,Month-to-month
81.45,Month-to-month
81.5,Month-to-month
81.7,Month-to-month
81.95,Month-to-month
82,Month-to-month
82,One year
82.05,One year
82.3,Month-to-month
82.35,Month-to-month
82.4,Month-to-month
82.45,One year
82.85,Month-to-month
83,One year
83.05,Month-to-month
83.15,Month-to-month
83.2,Month-to-month
83.3,Month-to-month
83.35,Month-to-month
83.55,Month-to-month
83.6,Month-to-month
83.65,Month-to-month
83.75,Month-to-month
83.8,Month-to-month
83.85,Month-to-month
83.9,Month-to-month
83.95,Month-to-month
84,Month-to-month
84.05,Month-to-month
84.05,One year
84.1,Month-to-month
84.15,Month-to-month
84.2,Month-to-month
84.25,Month-to-month
84.3,Month-to-month
84.35,Month-to-month
84.35,One year
84.4,Month-to-month
84.45,Month-to-month
84.5,Month-to-month
84.55,Month-to-month
84.6,Month-to-month
84.65,Month-to-month
84.7,Month-to-month
84.75,Month-to-month
84.8,Month-to-month
84.85,Month-to-month
84.9,Month-to-month
84.95,Month-to-month
85,Month-to-month
85.05,Month-to-month
85.1,Month-to-month
85.15,Month-to-month
85.15,One year
85.2,Month-to-month
85.25,Month-to-month
85.3,Month-to-month
85.35,Month-to-month
85.35,One year
85.4,Month-to-month
85.45,Month-to-month
85.5,Month-to-month
85.55,Month-to-month
85.55,One year
85.6,Month-to-month
85.65,Month-to-month
85.7,Month-to-month
85.75,Month-to-month
85.8,Month-to-month
85.85,Month-to-month
85.9,Month-to-month
85.95,Month-to-month
85.95,One year
86,Month-to-month
86.05,Month-to-month
86.1,Month-to-month
86.15,Month-to-month
86.2,Month-to-month
86.25,Month-to-month
86.3,Month-to-month
86.45,Month-to-month
86.5,Month-to-month
86.55,Month-to-month
86.6,Month-to-month
86.65,Month-to-month
86.8,Month-to-month
86.85,Month-to-month
87.05,Month-to-month
87.1,Month-to-month
87.15,Month-to-month
87.25,Month-to-month
87.4,One year
87.45,Month-to-month
87.55,Month-to-month
88.05,Month-to-month
88.15,Month-to-month
88.2,Month-to-month
88.25,Month-to-month
88.3,Month-to-month
88.35,Month-to-month
88.4,One year
88.45,Month-to-month
88.55,Month-to-month
88.7,Month-to-month
88.8,Month-to-month
88.85,Month-to-month
88.9,Month-to-month
88.95,Month-to-month
89,Month-to-month
89.05,Month-to-month
89.05,One year
89.1,Month-to-month
89.15,Month-to-month
89.2,Month-to-month
89.25,Month-to-month
89.3,Month-to-month
89.35,Month-to-month
89.4,Month-to-month
89.45,Month-to-month
89.5,Month-to-month
89.55,Month-to-month
89.55,One year
89.6,Month-to-month
89.65,Month-to-month
89.7,Month-to-month
89.75,Month-to-month
89.75,One year
89.8,Month-to-month
89.85,Month-to-month
89.9,Month-to-month
89.95,Month-to-month
90,Month-to-month
90.05,Month-to-month
90.1,Month-to-month
90.1,One year
90.15,Month-to-month
90.2,Month-to-month
90.25,Month-to-month
90.35,Month-to-month
90.4,Month-to-month
90.4,One year
90.45,Month-to-month
90.5,Month-to-month
90.55,Month-to-month
90.6,Month-to-month
90.6,One year
90.7,Month-to-month
90.75,Month-to-month
90.8,Month-to-month
90.85,Month-to-month
90.9,Month-to-month
90.95,One year
91,Month-to-month
91.05,Month-to-month
91.1,Month-to-month
91.15,Month-to-month
91.25,Month-to-month
91.3,Month-to-month
91.4,Month-to-month
91.5,Month-to-month
91.65,Month-to-month
91.7,Month-to-month
91.75,Month-to-month
91.85,Month-to-month
92.1,Month-to-month
92.35,Month-to-month
92.45,Two year
92.5,Month-to-month
92.55,Month-to-month
93.15,Month-to-month
93.2,Month-to-month
93.3,Month-to-month
93.35,Month-to-month
93.4,Month-to-month
93.5,Month-to-month
93.55,Month-to-month
93.7,Month-to-month
93.7,Two year
93.8,Month-to-month
93.8,One year
93.85,Month-to-month
93.9,Month-to-month
93.9,Two year
94,Month-to-month
94.05,Month-to-month
94.1,Month-to-month
94.1,Two year
94.2,Month-to-month
94.25,Month-to-month
94.25,One year
94.3,Month-to-month
94.35,One year
94.4,Month-to-month
94.4,One year
94.45,Month-to-month
94.5,Month-to-month
94.55,Month-to-month
94.6,Month-to-month
94.65,Month-to-month
94.7,Month-to-month
94.75,Month-to-month
94.8,One year
94.85,Month-to-month
94.85,One year
94.9,Month-to-month
94.95,Month-to-month
95,Month-to-month
95.05,Month-to-month
95.1,Month-to-month
95.15,Month-to-month
95.2,Month-to-month
95.25,Month-to-month
95.25,One year
95.25,Two year
95.35,Month-to-month
95.45,Month-to-month
95.5,Month-to-month
95.5,One year
95.5,Two year
95.55,Month-to-month
95.55,One year
95.6,Month-to-month
95.65,Month-to-month
95.7,Month-to-month
95.75,Month-to-month
95.8,One year
95.85,Month-to-month
95.9,Month-to-month
96,Month-to-month
96.05,Month-to-month
96.1,Month-to-month
96.15,Month-to-month
96.2,Month-to-month
96.25,Month-to-month
96.25,Two year
96.3,Month-to-month
96.4,Month-to-month
96.5,Month-to-month
96.55,Month-to-month
96.55,One year
96.6,Month-to-month
96.65,Month-to-month
96.7,Month-to-month
96.75,Month-to-month
96.75,One year
96.8,Month-to-month
97.1,Month-to-month
97.35,Month-to-month
97.65,Month-to-month
97.8,Month-to-month
97.85,Month-to-month
97.9,Month-to-month
97.95,Month-to-month
98,Month-to-month
98.05,Month-to-month
98.1,Month-to-month
98.15,Month-to-month
98.25,Month-to-month
98.25,One year
98.3,Month-to-month
98.3,Two year
98.35,Month-to-month
98.4,Month-to-month
98.5,Month-to-month
98.55,Month-to-month
98.6,Month-to-month
98.6,One year
98.65,Month-to-month
98.7,Month-to-month
98.75,Month-to-month
98.8,Month-to-month
98.9,Month-to-month
99,Month-to-month
99.05,Month-to-month
99.1,Month-to-month
99.15,Month-to-month
99.2,One year
99.25,Month-to-month
99.3,Month-to-month
99.35,Month-to-month
99.4,Month-to-month
99.45,Month-to-month
99.5,Month-to-month
99.5,One year
99.55,Month-to-month
99.6,Month-to-month
99.65,Month-to-month
99.7,Month-to-month
99.75,Month-to-month
99.8,Month-to-month
99.85,Month-to-month
99.9,One year
99.95,Month-to-month
100,Month-to-month
100,One year
100.05,Month-to-month
100.05,One year
100.1,Month-to-month
100.15,Month-to-month
100.15,One year
100.2,Month-to-month
100.25,Month-to-month
100.3,Month-to-month
100.3,One year
100.35,Month-to-month
100.45,Month-to-month
100.45,One year
100.5,Month-to-month
100.55,Month-to-month
100.6,Month-to-month
100.6,One year
100.65,Month-to-month
100.7,Month-to-month
100.75,Month-to-month
100.8,Month-to-month
100.85,Month-to-month
100.95,Month-to-month
100.95,One year
101,Month-to-month
101.05,Month-to-month
101.1,Month-to-month
101.15,Month-to-month
101.25,Month-to-month
101.3,Month-to-month
101.35,Month-to-month
101.4,Month-to-month
101.45,Month-to-month
101.5,One year
101.55,Month-to-month
101.7,Month-to-month
101.75,Month-to-month
101.85,Month-to-month
101.9,Month-to-month
101.95,Month-to-month
102,Month-to-month
102,One year
102.1,Month-to-month
102.25,Month-to-month
102.35,One year
102.45,Month-to-month
102.45,One year
102.6,One year
102.8,Month-to-month
102.95,Month-to-month
103,Month-to-month
103.25,One year
103.3,Month-to-month
103.35,Month-to-month
103.4,Month-to-month
103.4,Two year
103.45,Month-to-month
103.45,One year
103.7,Month-to-month
103.7,One year
103.75,One year
103.85,Month-to-month
103.9,Month-to-month
103.95,Month-to-month
103.95,One year
104,Two year
104.05,Month-to-month
104.05,One year
104.1,Month-to-month
104.1,One year
104.15,One year
104.15,Two year
104.2,Month-to-month
104.25,Month-to-month
104.3,Month-to-month
104.4,Month-to-month
104.4,One year
104.5,Month-to-month
104.55,One year
104.6,Two year
104.65,Month-to-month
104.65,One year
104.7,Month-to-month
104.7,One year
104.75,Month-to-month
104.75,One year
104.8,Month-to-month
104.85,Month-to-month
104.9,Month-to-month
104.95,Month-to-month
105,Month-to-month
105,One year
105.05,Month-to-month
105.1,Month-to-month
105.2,Month-to-month
105.2,One year
105.25,Month-to-month
105.3,Month-to-month
105.35,Month-to-month
105.4,One year
105.5,Month-to-month
105.5,One year
105.55,Month-to-month
105.65,Month-to-month
105.65,One year
105.7,Month-to-month
105.75,Month-to-month
105.85,Month-to-month
105.9,Month-to-month
105.95,Month-to-month
105.95,One year
106,One year
106,Two year
106.05,Two year
106.1,Month-to-month
106.1,One year
106.15,Month-to-month
106.25,One year
106.3,Month-to-month
106.35,Month-to-month
106.4,Month-to-month
106.45,One year
106.5,Two year
106.55,One year
106.6,Month-to-month
106.6,Two year
106.7,Month-to-month
106.75,Month-to-month
106.9,Month-to-month
106.95,One year
107.35,Month-to-month
107.4,Month-to-month
107.5,One year
107.55,One year
107.95,Two year
108.05,Two year
108.15,Month-to-month
108.4,Two year
108.45,One year
108.55,One year
108.6,Two year
108.65,Two year
108.75,Two year
108.85,One year
109.15,Month-to-month
109.25,One year
109.45,Two year
109.5,One year
109.55,Month-to-month
109.55,One year
109.65,Two year
109.75,Two year
109.8,Month-to-month
109.9,Month-to-month
110,One year
110,Two year
110.1,Month-to-month
110.15,One year
110.35,One year
110.45,Month-to-month
110.75,Month-to-month
110.85,One year
110.9,One year
111.1,Month-to-month
111.2,Month-to-month
111.25,One year
111.3,One year
111.6,Two year
111.95,One year
112.95,Month-to-month
112.95,Two year
113.15,Two year
113.2,Month-to-month
113.6,Month-to-month
114.2,Two year
114.5,Month-to-month
115.55,One year
115.65,One year
116.2,Two year
117.45,Month-to-month
117.8,One year
118.35,One year
